Tag,Total Length,Average Length - Primary roots,Average Length - Lateral roots,Lateral Root Count,
"LCA_J12-90-16:1",640.02,518.57,24.29,5,
"LCA_J12-90-16:2",523.34,505.88,5.82,3,
"LCA_J12-90-16:3",4.84,4.84,0,0,
"LCA_J12-90-16:4",577.37,521.81,18.52,3,
"LCA_J12-90-16:5",7.23,7.23,0,0,
"LCA_J12-90-16:6",1013.32,666.79,57.76,6,
"LCA_J12-90-16:7",599.26,528.64,70.62,1,
"LCA_J12-90-16:8",742.79,594.63,29.63,5,
"LCA_J12-90-14:1",578.39,552.04,13.18,2,
"LCA_J12-90-14:2",585,530.59,9.07,6,
"LCA_J12-90-14:3",552.32,453.35,19.8,5,
"LCA_J12-90-14:4",422.93,406.41,8.26,2,
"LCA_J12-90-14:5",618.24,492.48,31.44,4,
"LCA_J12-90-14:6",811.21,578.93,29.04,8,
"LCA_J12-90-14:7",677.17,532.2,24.16,6,
"LCA_J12-90-14:8",462.59,462.59,0,0,
"LCA_J12-90-2:1",962.41,612.59,31.8,11,
"LCA_J12-90-2:2",831.22,608.5,27.84,8,
"LCA_J12-90-2:3",1085.48,664.2,38.3,11,
"LCA_J12-90-2:4",989.88,664.45,40.68,8,
"LCA_J12-90-2:5",723.42,546.89,29.42,6,
"LCA_J12-90-2:6",10.26,10.26,0,0,
"LCA_J12-90-2:7",785.17,618.76,27.74,6,
"LCA_J12-90-2:8",11.87,11.87,0,0,
"LCA_J12-90-5:1",1034.11,593.05,36.76,12,
"LCA_J12-90-5:2",8.06,8.06,0,0,
"LCA_J12-90-5:3",960.42,606.79,39.29,9,
"LCA_J12-90-5:4",987.93,636.65,31.93,11,
"LCA_J12-90-5:5",4.24,4.24,0,0,
"LCA_J12-90-5:6",525.39,443.6,16.36,5,
"LCA_J12-90-5:7",539.4,438.45,12.62,8,
"LCA_J12-90-5:8",568.65,486.12,13.76,6,
"LCA_J12-90-11:1",12.04,12.04,0,0,
"LCA_J12-90-11:2",7.55,7.55,0,0,
"LCA_J12-90-11:3",4.25,4.25,0,0,
"LCA_J12-90-11:4",2.42,2.42,0,0,
"LCA_J12-90-11:5",792.19,590.52,33.61,6,
"LCA_J12-90-11:6",1205.03,610.93,54.01,11,
"LCA_J12-90-11:7",1016.74,588.65,42.81,10,
"LCA_J12-90-11:8",1132.49,600.85,53.16,10,
"LCA_J12-90-12:1",17.02,17.02,0,0,
"LCA_J12-90-12:2",532.33,476.72,18.54,3,
"LCA_J12-90-12:3",708.33,531.22,29.52,6,
"LCA_J12-90-12:4",23.9,23.9,0,0,
"LCA_J12-90-12:5",765.79,556.68,26.14,8,
"LCA_J12-90-12:6",8,8,0,0,
"LCA_J12-90-12:7",990.13,615.61,31.21,12,
"LCA_J12-90-12:8",882.82,627.26,36.51,7,
"LCA_J12-90-7:1",575.26,507.76,16.87,4,
"LCA_J12-90-7:2",870.84,599.3,30.17,9,
"LCA_J12-90-7:3",781.65,581.91,22.19,9,
"LCA_J12-90-7:4",821.08,549.22,45.31,6,
"LCA_J12-90-7:5",941.88,623.33,35.39,9,
"LCA_J12-90-7:6",15.58,15.58,0,0,
"LCA_J12-90-7:7",13.6,13.6,0,0,
"LCA_J12-90-7:8",581.58,484.65,19.39,5,
"LCA_J12-90-13:1",834.04,498.17,41.98,8,
"LCA_J12-90-13:2",4.24,4.24,0,0,
"LCA_J12-90-13:3",888.72,650.48,26.47,9,
"LCA_J12-90-13:4",1140.66,634.92,38.9,13,
"LCA_J12-90-13:5",1042.69,609.44,36.1,12,
"LCA_J12-90-13:6",1445.88,668.07,51.85,15,
"LCA_J12-90-13:7",1116.49,595.69,43.4,12,
"LCA_J12-90-13:8",950.17,582.18,36.8,10,
"LCA_J12-90-6:1",473.31,421,17.44,3,
"LCA_J12-90-6:2",12.09,12.09,0,0,
"LCA_J12-90-6:3",15.59,15.59,0,0,
"LCA_J12-90-6:4",990.17,567.76,35.2,12,
"LCA_J12-90-6:5",7.07,7.07,0,0,
"LCA_J12-90-6:6",13.18,13.18,0,0,
"LCA_J12-90-6:7",900.27,559.51,37.86,9,
"LCA_J12-90-6:8",829.62,550.33,34.91,8,
"LCA_J12-90-18:1",5.07,5.07,0,0,
"LCA_J12-90-18:2",11.55,11.55,0,0,
"LCA_J12-90-18:3",563.56,468.64,31.64,3,
"LCA_J12-90-18:4",4,4,0,0,
"LCA_J12-90-18:5",890.02,579.66,31.04,10,
"LCA_J12-90-18:6",896.28,577.52,28.98,11,
"LCA_J12-90-18:7",720.6,543.62,29.5,6,
"LCA_J12-90-18:8",16.14,16.14,0,0,
"LCA_J12-90-4:1",1011.1,537.96,43.01,11,
"LCA_J12-90-4:2",1092.4,619.52,36.38,13,
"LCA_J12-90-4:3",2,2,0,0,
"LCA_J12-90-4:4",1108.19,576.85,44.28,12,
"LCA_J12-90-4:5",1310.99,658.18,40.8,16,
"LCA_J12-90-4:6",0,0,0,0,
"LCA_J12-90-4:7",5.16,5.16,0,0,
"LCA_J12-90-4:8",7.85,7.85,0,0,
"LCA_J12-90-9:1",574.93,505.05,23.29,3,
"LCA_J12-90-9:2",510.16,442.16,34,2,
"LCA_J12-90-9:3",6.61,6.61,0,0,
"LCA_J12-90-9:4",2.83,2.83,0,0,
"LCA_J12-90-9:5",664.59,550.22,19.06,6,
"LCA_J12-90-9:6",667.52,566.77,20.15,5,
"LCA_J12-90-9:7",4.48,4.48,0,0,
"LCA_J12-90-9:8",5.66,5.66,0,0,
"LCA_J12-90-15:1",10,10,0,0,
"LCA_J12-90-15:2",744.05,552.42,27.38,7,
"LCA_J12-90-15:3",820.31,580.66,34.24,7,
"LCA_J12-90-15:4",682.55,567.4,28.79,4,
"LCA_J12-90-15:5",877.86,595.5,31.37,9,
"LCA_J12-90-15:6",634.43,546.38,14.68,6,
"LCA_J12-90-15:7",624.31,502.97,30.33,4,
"LCA_J12-90-15:8",750,552.3,24.71,8,
"LCA_J12-90-3:1",839.21,579.67,28.84,9,
"LCA_J12-90-3:2",864.74,606.37,28.71,9,
"LCA_J12-90-3:3",768.93,592,25.27,7,
"LCA_J12-90-3:4",4.24,4.24,0,0,
"LCA_J12-90-3:5",851.3,535.26,39.5,8,
"LCA_J12-90-3:6",497.09,478.59,18.49,1,
"LCA_J12-90-3:7",529.55,457.88,17.92,4,
"LCA_J12-90-3:8",1.41,1.41,0,0,
"LCA_J12-90-1:1",742.52,589.32,17.02,9,
"LCA_J12-90-1:2",858.09,607.52,25.06,10,
"LCA_J12-90-1:3",943.77,659.28,47.41,6,
"LCA_J12-90-1:4",775.57,581.3,27.75,7,
"LCA_J12-90-1:5",1066.19,614.92,45.13,10,
"LCA_J12-90-1:6",749.24,546.6,28.95,7,
"LCA_J12-90-1:7",4.47,4.47,0,0,
"LCA_J12-90-1:8",769.67,575.07,27.8,7,
"LCA_J12-90-17:1",8.42,8.42,0,0,
"LCA_J12-90-17:2",1.41,1.41,0,0,
"LCA_J12-90-17:3",721.68,530.46,21.25,9,
"LCA_J12-90-17:4",624.3,474.97,29.87,5,
"LCA_J12-90-17:5",17.75,17.75,0,0,
"LCA_J12-90-17:6",4,4,0,0,
"LCA_J12-90-17:7",725.56,562.46,27.18,6,
"LCA_J12-90-17:8",6.61,6.61,0,0,
