Tag,Average Length - Primary roots,Average Length - Lateral roots,Lateral Root Count,Total Length,
"Nadapt_6:1",288.78,66.39,5,620.75,
"Nadapt_6:2",233.06,29.24,6,408.48,
"Nadapt_6:3",310.98,28.62,2,368.22,
"Nadapt_6:4",288.27,39.66,7,565.91,
"Nadapt_6:5",277.29,54.96,7,662.04,
"Nadapt_6:6",287.14,60.84,4,530.49,
"Nadapt_6:7",240.24,52.92,2,346.08,
"Nadapt_6:8",246.43,32.7,5,409.92,
"Nadapt_22:1",477.52,51.44,9,940.46,
"Nadapt_22:2",440.77,39.45,6,677.49,
"Nadapt_22:3",442.16,66.68,8,975.62,
"Nadapt_22:4",394.79,16.43,2,427.65,
"Nadapt_22:5",466.99,44.25,7,776.75,
"Nadapt_22:6",501.03,62.53,4,751.13,
"Nadapt_22:7",488.81,61.88,10,1107.62,
"Nadapt_22:8",420.22,22.79,6,556.99,
"Nadapt_20:1",391.24,34.2,6,596.42,
"Nadapt_20:2",461.17,51.79,7,823.69,
"Nadapt_20:3",4.47,0,0,4.47,
"Nadapt_20:4",0,0,0,0,
"Nadapt_20:5",6.01,0,0,6.01,
"Nadapt_20:6",503.74,52.2,8,921.35,
"Nadapt_20:7",557.32,43.06,8,901.79,
"Nadapt_20:8",515.06,31.51,13,924.66,
"Nadapt_21:1",6.44,0,0,6.44,
"Nadapt_21:2",261.59,43.26,2,348.11,
"Nadapt_21:3",277.25,14.87,3,321.85,
"Nadapt_21:4",304.84,59.78,3,484.17,
"Nadapt_21:5",318.51,57.86,7,723.53,
"Nadapt_21:6",300.67,48.35,3,445.73,
"Nadapt_21:7",339.56,60.24,7,761.22,
"Nadapt_21:8",342.99,43.65,6,604.89,
"Nadapt_5:1",253.22,49.55,6,550.53,
"Nadapt_5:2",311.47,36.29,8,601.8,
"Nadapt_5:3",316.52,57.97,6,664.32,
"Nadapt_5:4",300.97,33.95,4,436.75,
"Nadapt_5:5",383.57,68.56,5,726.38,
"Nadapt_5:6",394.3,44.85,7,708.22,
"Nadapt_5:7",340.1,52.64,3,498.02,
"Nadapt_5:8",317.91,63.28,7,760.88,
"Nadapt_3:1",460.63,55.12,4,681.1,
"Nadapt_3:2",492.17,35.91,7,743.55,
"Nadapt_3:3",456.76,11.05,4,500.95,
"Nadapt_3:4",541.77,33.33,4,675.11,
"Nadapt_3:5",509.89,37.14,10,881.32,
"Nadapt_3:6",501.4,29.18,5,647.29,
"Nadapt_3:7",468.12,42.12,4,636.59,
"Nadapt_3:8",426.07,32.07,5,586.45,
"Nadapt_13:1",413.79,48.32,5,655.4,
"Nadapt_13:2",455.57,35.43,5,632.71,
"Nadapt_13:3",452.71,42.49,7,750.14,
"Nadapt_13:4",566.02,40.49,8,889.96,
"Nadapt_13:5",3.24,0,0,3.24,
"Nadapt_13:6",480.72,56.84,8,935.41,
"Nadapt_13:7",4.48,0,0,4.48,
"Nadapt_13:8",469.68,41.75,10,887.19,
"Nadapt_15:1",426.58,33.14,7,658.54,
"Nadapt_15:2",6.61,0,0,6.61,
"Nadapt_15:3",492.65,29.49,3,581.11,
"Nadapt_15:4",517.9,46.17,7,841.07,
"Nadapt_15:5",511.16,44.94,9,915.61,
