"","gene","condition","genotype","mean","median","SD","n","erreur_std"
"1","AT5G38000","ABA","col",0.923333333333331,0.613333333333332,0.782496006379586,3,0.451774279923061
"2","AT5G38000","ABA","ler",1.6,1.53333333333333,0.503322295684717,3,0.290593262902712
"3","AT5G38000","NoABA","col",-1.48020701598583e-16,-0.136666666666668,0.547935519320781,3,0.31635071957841
"4","AT5G38000","NoABA","ler",1.93666666666666,2.15333333333333,0.375277674973256,3,0.216666666666666
"5","AT5G38010","ABA","col",0.520000000000001,0.206666666666667,1.14268689208083,3,0.659730584742321
"6","AT5G38010","ABA","ler",0.566666666666668,0.746666666666666,0.746458304260859,3,0.430967902903839
"7","AT5G38010","NoABA","col",0,0.0166666666666657,0.125830573921179,3,0.0726483157256778
"8","AT5G38010","NoABA","ler",-0.0966666666666664,0.186666666666667,0.597689997685535,3,0.345076481055691
"9","AT5G38020","ABA","col",2.1,1.48666666666667,1.37660209695225,3,0.794781591242386
"10","AT5G38020","ABA","ler",0.133333333333332,0.676666666666664,1.08260488329461,3,0.625042220796144
"11","AT5G38020","NoABA","col",1.48018442844057e-16,-0.0733333333333328,0.76264889256678,3,0.4403155434206
"12","AT5G38020","NoABA","ler",0.123333333333333,-0.00333333333333252,0.395516539898564,3,0.228351580779385
"13","LCA","ABA","col",0.186666666666665,-0.260000000000002,0.988803991361957,3,0.570886250588602
"14","LCA","ABA","ler",-5.51,-5.26,0.747060907824788,3,0.431315816233688
"15","LCA","NoABA","col",0,0.129999999999999,0.654751861394835,3,0.378021163428717
"16","LCA","NoABA","ler",-4.15333333333334,-4.45,0.55770362499569,3,0.321990338019292
