"","gene","genotype","condition","mean","median","SD","n","erreur_std"
"1","AT5G37980","col","HighN",2.96057779167481e-16,0.0233333333333325,0.0971253485622235,3,0.056075346137536
"2","AT5G37980","col","LowN",0.489999999999999,0.443333333333334,0.302709982216202,3,0.174769689718911
"3","AT5G37980","lca","HighN",-0.396666666666668,-0.316666666666667,0.156204993518134,3,0.0901849950564583
"4","AT5G37980","lca","LowN",-0.149999999999998,-0.0966666666666649,0.0923760430703402,3,0.0533333333333334
"5","AT5G37990","col","HighN",-7.40193858173958e-17,0.229999999999998,0.442379927211894,3,0.255408170059874
"6","AT5G37990","col","LowN",-0.0833333333333346,0.0499999999999983,0.248461935381125,3,0.143449565275668
"7","AT5G37990","lca","HighN",-0.476666666666668,-0.480000000000003,0.105039675043925,3,0.0606446846622011
"8","AT5G37990","lca","LowN",-1.03666666666667,-0.950000000000002,0.15885003409925,3,0.091712109947983
"9","AT5G38000","col","HighN",-1.48029736616688e-16,0.0133333333333341,0.0230940107675866,3,0.0133333333333342
"10","AT5G38000","col","LowN",0.406666666666666,0.323333333333333,0.226789182575654,3,0.130936795609349
"11","AT5G38000","lca","HighN",-0.420000000000001,-0.486666666666666,0.276103845198384,3,0.159408629349578
"12","AT5G38000","lca","LowN",-0.143333333333332,-0.0966666666666653,0.126622799421485,3,0.0731057073315383
"13","AT5G38005","col","HighN",0,0.113333333333333,0.325166623953526,3,0.18773503787105
"14","AT5G38005","col","LowN",-0.143333333333334,-0.256666666666668,0.22278539748676,3,0.128625209210499
"15","AT5G38005","lca","HighN",-2.14666666666667,-2.04666666666667,0.190787840283389,3,0.110151410945722
"16","AT5G38005","lca","LowN",-2.17,-2.07666666666666,0.188237438713274,3,0.108678935912674
"17","AT5G38010","col","HighN",0,0.0599999999999987,0.274954541697352,3,0.158745078663876
"18","AT5G38010","col","LowN",-0.213333333333335,-0.240000000000002,0.300887575903916,3,0.17371752294394
"19","AT5G38010","lca","HighN",-0.390000000000002,-0.350000000000001,0.0692820323027557,3,0.0400000000000003
"20","AT5G38010","lca","LowN",-0.18,-0.25,0.138924439894498,3,0.0802080627701065
"21","AT5G38020","col","HighN",0,0.123333333333331,0.42852460061627,3,0.24740879352018
"22","AT5G38020","col","LowN",0.203333333333333,0.263333333333335,0.216333076527841,3,0.124899959967969
"23","AT5G38020","lca","HighN",-0.613333333333333,-0.646666666666665,0.0577350269189624,3,0.0333333333333332
"24","AT5G38020","lca","LowN",-0.689999999999998,-0.896666666666665,0.393107279674815,3,0.226960593740656
