"","gene","condition","genotype","mean","median","SD","n","erreur_std"
"1","AT5G38000","NACL","col",0.0233333333333322,-0.0100000000000016,0.211974841274463,3,0.122383731671239
"2","AT5G38000","NACL","ler",0.263333333333334,0.260000000000002,0.205020324195755,3,0.118368539363764
"3","AT5G38000","NoNACL","col",0,0.140000000000001,0.314324672910034,3,0.181475434517549
"4","AT5G38000","NoNACL","ler",1.39,1.35,0.163707055437447,3,0.094516312525051
"5","AT5G38010","NACL","col",-0.460000000000002,-0.643333333333336,0.379780638439263,3,0.219266453835916
"6","AT5G38010","NACL","ler",-0.446666666666667,-0.443333333333333,0.205020324195757,3,0.118368539363765
"7","AT5G38010","NoNACL","col",7.40058332902397e-17,0.0466666666666657,0.451811169996199,3,0.260853300620185
"8","AT5G38010","NoNACL","ler",0.109999999999998,0.106666666666664,0.495008417436848,3,0.285793243058295
"9","AT5G38020","NACL","col",-0.303333333333333,-0.170000000000001,0.719328390468036,3,0.415304439872461
"10","AT5G38020","NACL","ler",-0.893333333333333,-0.659999999999999,0.70938940881108,3,0.409566166137346
"11","AT5G38020","NoNACL","col",0,0.88,1.55025804303671,3,0.895041898460626
"12","AT5G38020","NoNACL","ler",0.303333333333333,0.72,1.1719357206491,3,0.676617403789697
"13","LCA","NACL","col",0.413333333333333,0.279999999999998,0.493693562175297,3,0.285034111019093
"14","LCA","NACL","ler",-4.09333333333333,-3.76,0.747952761431719,3,0.431830728153727
"15","LCA","NoNACL","col",0,-0.0599999999999987,0.383536178215303,3,0.221434715736565
"16","LCA","NoNACL","ler",-5.00666666666667,-5.38,0.74393100038467,3,0.429508763330597
