"","gene","genotype","condition","mean","median","SD","n","erreur_std"
"1","AT5G37970","col","AIA",-2.86,-2.785,0.743729341449787,4,0.371864670724893
"2","AT5G37970","col","NoAIA",0,-0.0350000000000001,0.516591392366023,4,0.258295696183012
"3","AT5G37970","lca","AIA",-3.68,-3.64,0.24792471975716,4,0.12396235987858
"4","AT5G37970","lca","NoAIA",-1.995,-2.6,1.47699018277035,4,0.738495091385176
"5","AT5G37980","col","AIA",-0.77,-0.6775,0.297699512932085,4,0.148849756466042
"6","AT5G37980","col","NoAIA",0,0.0425000000000004,0.287097544399112,4,0.143548772199556
"7","AT5G37980","lca","AIA",-1.66,-1.6675,0.37748068383252,4,0.18874034191626
"8","AT5G37980","lca","NoAIA",-0.785000000000001,-0.852500000000001,0.469139282800605,4,0.234569641400303
"9","AT5G37990","col","AIA",-0.315,-0.244999999999999,0.223308456325923,4,0.111654228162962
"10","AT5G37990","col","NoAIA",0,0.0350000000000001,0.135277492584687,4,0.0676387462923434
"11","AT5G37990","lca","AIA",-0.829999999999999,-0.874999999999998,0.261470202253846,4,0.130735101126923
"12","AT5G37990","lca","NoAIA",-0.715,-0.665000000000001,0.802122185206218,4,0.401061092603109
"13","AT5G38000","col","AIA",0.145,0.284999999999999,0.396820698384883,4,0.198410349192442
"14","AT5G38000","col","NoAIA",0,-0.0650000000000004,0.187171935218219,4,0.0935859676091095
"15","AT5G38000","lca","AIA",-0.53,-0.465000000000001,0.415812457725837,4,0.207906228862919
"16","AT5G38000","lca","NoAIA",-1.43,-1.595,0.636107957294461,4,0.318053978647231
"17","AT5G38005","col","AIA",-0.0924999999999994,-0.0724999999999998,0.132916013582514,4,0.066458006791257
"18","AT5G38005","col","NoAIA",0,0.0175000000000001,0.0499165971062409,4,0.0249582985531204
"19","AT5G38005","lca","AIA",-1.8275,-1.7375,0.486655251007666,4,0.243327625503833
"20","AT5G38005","lca","NoAIA",-2.0425,-2.0675,0.488603452027646,4,0.244301726013823
"21","AT5G38010","col","AIA",0.0300000000000002,0.104999999999999,0.57717703812031,4,0.288588519060155
"22","AT5G38010","col","NoAIA",0,-0.00499999999999901,0.189208879284244,4,0.0946044396421221
"23","AT5G38010","lca","AIA",-0.9575,-0.859999999999999,0.439952648967288,4,0.219976324483644
"24","AT5G38010","lca","NoAIA",-0.6825,-0.73,0.471619550061274,4,0.235809775030637
"25","AT5G38020","col","AIA",-0.48,-0.4525,0.254476587004255,4,0.127238293502127
"26","AT5G38020","col","NoAIA",0,0.0575000000000001,0.332903890034347,4,0.166451945017174
"27","AT5G38020","lca","AIA",-1.3975,-1.4825,0.227082951070015,4,0.113541475535008
"28","AT5G38020","lca","NoAIA",-0.665000000000001,-0.492500000000001,0.550416508957836,4,0.275208254478918
"29","AT5G38030","col","AIA",-0.6175,-0.654999999999999,0.516938100743213,4,0.258469050371607
"30","AT5G38030","col","NoAIA",0,0.0299999999999994,0.284018778721879,4,0.142009389360939
"31","AT5G38030","lca","AIA",-1.4225,-1.405,0.227358014300501,4,0.11367900715025
"32","AT5G38030","lca","NoAIA",-0.260000000000001,-0.295000000000002,0.587593964116945,4,0.293796982058472
"33","AT5G38040","col","AIA",0.6225,0.710000000000001,0.337083075813665,4,0.168541537906832
"34","AT5G38040","col","NoAIA",0,-0.0299999999999994,0.296254395185398,4,0.148127197592699
"35","AT5G38040","lca","AIA",-0.4375,-0.414999999999999,0.184639287982453,4,0.0923196439912265
"36","AT5G38040","lca","NoAIA",-0.697500000000001,-0.93,0.526774777933288,4,0.263387388966644
