tracking_id	position(Oryza sativa L. ssp. Japonica, MSU Rice Genome Annotation Project Release 7)	F1	F2	R1	R2	L1	L2	S1	S2
XLOC_000001	chr1:2868-10817	7.61199	9.04983	6.37246	11.4817	14.3004	12.8468	4.61327	6.73977
XLOC_000002	chr1:11217-12435	0.913613	0.557434	1.84972	0.119582	0.223906	0.0620347	1.33274	0.594741
XLOC_000003	chr1:12647-15915	4.67773	5.47258	2.73603	0.587908	1.62159	0.452709	1.31603	11.467
XLOC_000004	chr1:16291-20323	12.0796	14.7942	12.1536	16.3711	15.5404	16.4101	10.2506	11.314
XLOC_000005	chr1:22840-26971	5.20306	7.0956	7.79074	14.3207	14.4538	15.1861	5.52766	5.19155
XLOC_000006	chr1:27135-28651	109.899	77.5076	62.5461	28.7268	42.8272	49.3365	72.2996	93.6017
XLOC_000007	chr1:29817-34493	6.89719	8.31932	8.28951	9.09318	8.70997	9.08698	5.31067	6.11582
XLOC_000008	chr1:35580-41180	16.582	25.902	23.8816	48.6776	28.555	52.3606	22.5206	31.4708
XLOC_000010	chr1:56260-66302	20.0216	35.9578	2.67987	21.3861	76.4057	15.7081	1.27681	9.76865
XLOC_000012	chr1:72774-79938	8.37684	13.1955	6.5909	17.8546	19.2155	18.6121	5.77572	10.8605
XLOC_000013	chr1:82354-84302	3.71742	3.79187	1.10072	10.0159	5.5629	5.52868	6.17312	2.81831
XLOC_000018	chr1:116078-135685	16.9085	18.3928	1.11369	13.725	62.1575	14.038	8.27193	3.824
XLOC_000020	chr1:137763-144554	5.38205	4.87965	31.0056	6.46763	7.25309	9.29088	14.7254	36.263
XLOC_000021	chr1:145576-147852	16.6008	26.5423	5.67966	49.0736	88.831	37.0908	0.347614	4.47033
XLOC_000022	chr1:148044-150577	43.9721	39.4912	45.7527	64.8101	29.7987	80.5077	20.2461	146.578
XLOC_000023	chr1:151408-156500	3.5037	4.185	3.85367	3.2016	5.24452	4.05222	3.75719	4.75544
XLOC_000024	chr1:178309-180812	4.19921	3.27713	1.1823	2.31922	2.14332	1.78206	0.719433	0.768189
XLOC_000025	chr1:184914-196508	1.13434	1.51795	0.886954	2.89946	1.93259	3.2093	0.573196	1.804
XLOC_000026	chr1:197631-200803	11.5824	11.5799	3.7604	9.47223	12.2235	10.7051	5.63671	12.906
XLOC_000028	chr1:209770-214229	25.7873	31.4557	11.4779	43.147	48.6983	41.9779	22.5995	16.3876
XLOC_000029	chr1:216125-217664	0.00309325	0.00315481	1.82409	0.279122	0.139247	0.254959	0.0257691	0.223711
XLOC_000030	chr1:224862-229331	398.054	302.836	79.8368	103.584	143.401	100.759	49.9232	48.1866
XLOC_000031	chr1:241640-243468	0	0.00290567	0.00658416	0	0	0	4.51154	250.559
XLOC_000033	chr1:261493-268716	11.1095	11.1741	12.3674	13.4756	18.2567	20.2822	30.1502	10.966
XLOC_000035	chr1:284910-295043	10.8565	11.4311	8.87641	9.06673	10.3917	9.17554	8.97526	11.3628
XLOC_000036	chr1:303102-306800	0.322442	0.285355	0.143752	0.146165	0.0745086	0.107848	1.1935	0.308835
XLOC_000037	chr1:319712-322248	44.6876	33.5513	33.1264	50.4454	39.1526	46.7525	12.412	27.8248
XLOC_000038	chr1:335541-371292	12.8419	15.3788	12.3367	14.1509	18.5255	12.4637	13.8014	20.2098
XLOC_000039	chr1:371830-374470	64.4603	53.4081	32.5908	49.2863	47.7506	48.7482	45.6313	51.4007
XLOC_000042	chr1:408223-412254	0.878224	1.54304	0.0281412	0.103367	0.0647484	0.07936	0.00879988	0.141568
XLOC_000043	chr1:412578-416151	3.79194	2.8082	0.862743	0.41886	1.03752	0.446521	2.15064	1.01736
XLOC_000044	chr1:422430-431692	6.3949	7.94762	8.76491	9.21571	10.1469	12.5497	6.58467	9.8482
XLOC_000045	chr1:437609-449571	12.2736	16.9641	15.6923	18.3432	18.1289	22.1556	6.0728	13.756
XLOC_000046	chr1:455327-460716	0.0779589	0.14989	0.0316418	10.515	14.6038	28.8467	0.0841975	0.103141
XLOC_000048	chr1:478114-482130	21.0804	23.9101	139.472	14.6811	38.822	19.4861	1.2992	2.95812
XLOC_000050	chr1:483616-486642	0.5894	0.402365	0.790925	0.0710148	0.482131	0.126041	0.162894	2.55357
XLOC_000051	chr1:495076-506264	7.54653	10.9504	6.88154	12.2742	16.9434	9.53833	4.07146	7.50108
XLOC_000053	chr1:509320-523512	2.86185	1.86228	0.632372	0.952473	1.01084	1.39776	0.54645	5.79939
XLOC_000055	chr1:533785-534139	0.831178	1.26506	0	0	0	0	0	0
XLOC_000056	chr1:537052-544510	7.26942	10.7997	3.42805	1.02669	2.55869	0.878938	0.0796945	2.60012
XLOC_000057	chr1:549072-553287	9.4772	12.4956	9.87825	12.8343	13.6593	13.553	69.2866	11.6512
XLOC_000059	chr1:588862-593759	27.0572	32.0938	21.4639	32.4601	27.9045	31.8666	41.7944	42.9074
XLOC_000060	chr1:595219-597788	0.843109	1.11649	1.24243	0.711852	0.932223	0.615827	0.154921	2.42958
XLOC_000061	chr1:598209-601472	3.14069	3.78278	2.55452	5.51962	6.16133	6.46326	2.2974	4.63817
XLOC_000062	chr1:612364-615650	0	0	0.00684026	0	0	0	1348.33	39.7725
XLOC_000063	chr1:624086-624613	45.7565	32.6388	16.6087	8.72774	4.05832	14.7406	12.5618	8.72767
XLOC_000064	chr1:625975-627024	138.04	65.018	36.6871	3.97858	5.42492	5.97524	6.26779	6.8009
XLOC_000065	chr1:632092-632913	17.4889	11.1142	1.72763	0	0	0.0102942	0.245355	7.68818
XLOC_000067	chr1:677030-678593	0.214342	0.108507	44.533	0.0110279	0.354685	0.0604584	0.0480304	0.0619846
XLOC_000071	chr1:723486-726432	4.16838	4.19684	25.5405	2.01521	1.78977	1.61967	0.257001	1.21441
XLOC_000072	chr1:728976-738020	0.507687	1.01664	1.68584	1.48539	1.91545	1.21797	0.159524	0.502568
XLOC_000073	chr1:742271-749556	0.87048	1.49099	1.08366	7.05385	1.76913	8.1564	0.134466	1.41946
XLOC_000074	chr1:770331-773851	1.43211	2.86544	1.33049	33.8878	13.8459	19.911	0.699161	2.05273
XLOC_000075	chr1:781191-785587	1.46235	1.36183	0.835907	5.80736	1.66209	4.78863	0.645846	1.30172
XLOC_000078	chr1:796655-799517	0.50488	0.599847	0.995302	10.4475	3.38344	8.30931	0.17861	1.0129
XLOC_000084	chr1:843192-847977	0.29132	0.203303	0.1041	44.9028	5.61888	55.2761	0.109469	0.872103
XLOC_000085	chr1:848345-854936	0.100472	0.165765	0.0999394	1.64327	0.793426	0.866182	0.263764	0.239867
XLOC_000086	chr1:855032-857777	0.27307	0.177448	0.0238521	63.8229	4.7563	38.6537	0.177736	0.381534
XLOC_000087	chr1:865965-869063	0.313133	0.598273	1.0523	21.0361	8.52574	19.9909	0.121145	0.58925
