tracking_id	position(Oryza sativa L. ssp. Japonica, MSU Rice Genome Annotation Project Release 7)	F1	F2	R1	R2	L1	L2	S1	S2
P_XLOC_000001	chr1|+|2903-10859	11.7884	11.2466	9.91655	21.8358	21.4804	22.532	11.1458	16.4944
P_XLOC_000002	chr1|+|11218-16074	12.5202	15.6188	11.3867	1.67408	3.79331	1.20687	32.3017	9.79053
P_XLOC_000003	chr1|+|16137-20323	18.1999	16.7154	19.4468	30.7507	26.4647	30.2936	19.3422	27.7004
P_XLOC_000004	chr1|+|22841-26971	9.89589	10.5554	21.9492	32.2518	33.3517	32.2593	11.2187	19.0018
P_XLOC_000005	chr1|+|27136-28651	269.683	396.043	265.755	94.6772	161.593	193.226	430.33	338.392
P_XLOC_000006	chr1|+|27788-27888	5244.92	13968.2	8139.04	12949.6	6581.8	11812.3	13837.9	0
P_XLOC_000007	chr1|+|29818-34493	15.0205	19.6159	21.5743	34.1451	38.1662	24.4077	57.2459	66.0755
P_XLOC_000008	chr1|+|30543-30664	132.255	0	119.431	174.799	45.4281	69.6043	57.0122	304.789
P_XLOC_000009	chr1|+|35581-41298	185.121	213.589	738.686	837.148	527.839	700.844	288.071	1029.25
P_XLOC_000011	chr1|+|57082-57972	0	0.334702	0.523176	1.16781	0.144127	1.97396	0	0
P_XLOC_000012	chr1|+|58481-63576	29.1782	28.4307	9.06688	28.5507	149.388	23.064	22.7689	2.99485
P_XLOC_000013	chr1|+|64326-64869	0.728233	0.475753	0.491072	2.04067	2.35469	1.80736	0.34736	0
P_XLOC_000014	chr1|+|65068-65582	0.573106	0.245549	0.480403	4.56437	4.3155	2.50624	0.607994	0
P_XLOC_000016	chr1|+|72775-79981	13.3412	13.2086	10.3755	30.7402	24.4747	26.9472	17.1708	14.5416
P_XLOC_000017	chr1|+|82428-84302	7.54207	7.1385	3.33609	18.6098	11.0868	13.4861	6.19845	21.3788
P_XLOC_000018	chr1|+|85337-88844	1.37366	2.03501	0.277702	0.317175	0	0.0714651	1.72417	0.731527
P_XLOC_000024	chr1|+|134288-135715	21.0943	17.3418	2.16687	22.7911	114.201	23.333	11.9825	23.9774
P_XLOC_000025	chr1|+|137879-141849	0.0327343	0.0518781	0	0.325522	0.453812	0.16309	60.6802	14.4074
P_XLOC_000026	chr1|+|141936-144554	8.63265	9.94245	64.8106	11.6784	13.2324	18.5763	26.7687	33.6444
P_XLOC_000027	chr1|+|145577-150603	137.87	138.831	134.17	310.488	354.04	360.56	501.196	88.5801
P_XLOC_000028	chr1|+|148401-148633	9.74323	12.2507	8.81897	31.8375	24.9471	26.9359	7.48424	4.73203
P_XLOC_000029	chr1|+|148687-149100	527.659	600.9	3.03004	26.4301	11.126	340.892	1004.52	0.869382
P_XLOC_000030	chr1|+|151409-156500	7.05982	5.42348	6.96835	7.24222	8.81942	7.83362	10.0418	12.522
P_XLOC_000031	chr1|+|164015-172234	11.4266	9.80381	12.993	8.539	20.5983	5.07069	13.4717	13.141
P_XLOC_000032	chr1|+|178310-180812	3.27635	2.5798	0.935718	1.98049	2.47458	1.66487	0.702351	0.855283
P_XLOC_000033	chr1|+|187558-187967	0	0	0.444503	0.103984	0	0	3.827	2.26549
P_XLOC_000035	chr1|+|190747-196486	2.36563	2.17403	1.68457	5.55642	2.77086	5.28586	3.88799	2.64134
P_XLOC_000036	chr1|+|197647-200803	17.2979	21.6984	6.10773	17.1915	21.5861	18.933	24.3909	15.4773
P_XLOC_000038	chr1|+|207029-214230	44.3745	47.9769	21.4521	96.1704	102.305	86.1093	38.4357	68.2567
P_XLOC_000039	chr1|+|216126-217664	0	0.773792	4.07488	0.597092	0.194188	0.779548	1.00004	0
P_XLOC_000040	chr1|+|224833-225700	17.8171	10.9323	5.2685	13.0974	18.9396	16.0026	9.13226	16.4818
P_XLOC_000041	chr1|+|226897-229331	797.67	402.219	223.908	203.76	337.086	222.246	114.292	123.507
P_XLOC_000042	chr1|+|241641-243468	0	0	0.0852509	0	0.0675564	0.163972	468.493	16.3618
P_XLOC_000043	chr1|+|244328-245258	0	0	0	0	0	0	1.3721	0
P_XLOC_000045	chr1|+|261504-268532	18.7044	34.0284	23.6509	25.7829	33.0331	39.3897	20.5721	84.0417
P_XLOC_000047	chr1|+|288337-294536	22.5229	21.3729	21.0464	20.2898	24.1727	22.5376	30.3484	25.4255
P_XLOC_000050	chr1|+|319713-322248	93.535	82.237	99.7265	135.066	97.0212	136.708	86.2498	40.7512
P_XLOC_000051	chr1|+|335723-371339	14.2902	13.1062	13.9831	18.4149	17.9416	16.482	24.5129	33.3483
P_XLOC_000052	chr1|+|371831-374470	181.212	181.239	125.382	162.753	187.971	200.674	270.5	322.14
P_XLOC_000054	chr1|+|404331-405790	0.704463	0.502023	0.169286	4.087	1.55989	2.93804	0.141986	0.331079
P_XLOC_000056	chr1|+|409644-411632	1.72407	1.21946	0	0.115034	0.0278281	0.0429286	0.197929	0.0557628
P_XLOC_000057	chr1|+|412579-415932	6.71088	4.39529	1.74693	1.07994	1.95113	1.11031	2.70118	6.98685
P_XLOC_000058	chr1|+|422462-450170	37.7657	42.7487	51.0275	60.2099	50.318	69.9127	53.037	52.0139
P_XLOC_000059	chr1|+|427443-428307	0.346453	0.535248	0.180611	0.920216	0.556365	0.561008	1.35291	5.39627
P_XLOC_000060	chr1|+|429192-429427	0.551452	0	0.716192	2.39772	0	0.661526	0	39.8781
P_XLOC_000061	chr1|+|455512-461505	0	0.43154	0	9.41384	11.7931	24.9725	0.122533	0.0843178
P_XLOC_000063	chr1|+|478325-481166	29.7925	12.8962	255.653	24.8226	76.4898	37.3449	6.91194	2.78418
P_XLOC_000065	chr1|+|483885-486515	1.56011	8.41124	3.15949	0.127296	1.78346	0.241026	8.41577	1.42579
P_XLOC_000067	chr1|+|498454-506264	11.0369	12.0299	8.51529	21.6377	27.8945	16.1013	13.3413	15.5323
P_XLOC_000068	chr1|+|500810-501206	1.1279	0.927691	1.97997	0.968729	3.18035	0.679193	1.03054	0
P_XLOC_000069	chr1|+|503778-504261	0.848628	0.788904	1.61029	0.673562	1.51306	0.885795	0.918428	0.974472
P_XLOC_000071	chr1|+|509323-512371	3.43008	4.70595	1.55837	0.965339	1.58217	1.95287	9.0965	0.76883
P_XLOC_000072	chr1|+|512840-513502	0.22058	2.54211	1.02889	0.180342	1.48956	0.591903	0.490315	0
P_XLOC_000073	chr1|+|533786-534139	8.07174	5.59101	0	0	0	0	0	1.15253
P_XLOC_000074	chr1|+|537533-543355	13.4599	6.4866	6.94521	2.16512	5.1291	1.68432	6.61879	0.193845
P_XLOC_000075	chr1|+|549108-553287	8.87426	10.8952	10.9296	13.9632	15.8779	16.4502	19.309	145.62
P_XLOC_000077	chr1|+|588863-593759	50.9835	62.3944	52.0006	72.5305	53.8206	74.1947	99.0852	146.439
